company,companyLabel,productTypeLabel,revenue,revenueYear,revenueCurrencyLabel,employees,employeesYear,netProfit,netProfitYear,netProfitCurrencyLabel
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,132000000,2001,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,449000000,2004,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1119000000,2014,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1283000000,2002,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,839000000,2003,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,881000000,2023,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1361000000,2009,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,1313000000,2008,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,101911,2020,721000000,2000,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1720000000,2016,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,959000000,2022,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1353000000,2006,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1924000000,2021,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1929000000,2019,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1464000000,2005,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,4180000000,2007,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1672000000,2012,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1956000000,2020,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,2453000000,2017,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1282000000,2015,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1422000000,2013,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,2349000000,2018,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1870000000,2010,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1671000000,2011,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,132000000,2001,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,449000000,2004,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1119000000,2014,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1283000000,2002,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,839000000,2003,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,881000000,2023,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1361000000,2009,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,1313000000,2008,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,100000,2023,721000000,2000,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1720000000,2016,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,959000000,2022,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1353000000,2006,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1924000000,2021,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1929000000,2019,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1464000000,2005,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,4180000000,2007,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1672000000,2012,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1956000000,2020,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,2453000000,2017,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1282000000,2015,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1422000000,2013,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,2349000000,2018,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1870000000,2010,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1671000000,2011,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,132000000,2001,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,449000000,2004,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1119000000,2014,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1283000000,2002,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,839000000,2003,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,881000000,2023,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1361000000,2009,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,1313000000,2008,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27661000000,2022,евро,98105,2021,721000000,2000,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1929000000,2019,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1464000000,2005,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,4180000000,2007,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1672000000,2012,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1956000000,2020,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,2453000000,2017,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1282000000,2015,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1422000000,2013,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,2349000000,2018,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1870000000,2010,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1671000000,2011,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,132000000,2001,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,449000000,2004,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1119000000,2014,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1283000000,2002,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,839000000,2003,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,881000000,2023,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1361000000,2009,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,1313000000,2008,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,100000,2023,721000000,2000,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1720000000,2016,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,959000000,2022,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1353000000,2006,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1924000000,2021,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1929000000,2019,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1464000000,2005,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,4180000000,2007,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1672000000,2012,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1956000000,2020,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,2453000000,2017,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1282000000,2015,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1422000000,2013,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,2349000000,2018,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1870000000,2010,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1671000000,2011,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,132000000,2001,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,449000000,2004,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1119000000,2014,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1283000000,2002,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,839000000,2003,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,881000000,2023,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1361000000,2009,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,1313000000,2008,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,98105,2021,721000000,2000,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,101911,2020,1720000000,2016,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,101911,2020,959000000,2022,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,101911,2020,1353000000,2006,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,101911,2020,1924000000,2021,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,101911,2020,1929000000,2019,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,101911,2020,1464000000,2005,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,101911,2020,4180000000,2007,евро
http://www.wikidata.org/entity/Q329426,Danone,кофе,27619000000,2023,евро,101911,2020,1672000000,2012,евро
