company,companyLabel,productTypeLabel,countryLabel,hqLabel,hqCoord,foundingYearShort
http://www.wikidata.org/entity/Q5289995,Dôme,кофе,Объединённые Арабские Эмираты,Maylands,Point(115.899 -31.931),1990
http://www.wikidata.org/entity/Q5289995,Dôme,кофе,Филиппины,Maylands,Point(115.899 -31.931),1990
http://www.wikidata.org/entity/Q5296921,Donut King,кофе,Австралия,Голд-Кост,Point(153.4 -28.016666666),1981
http://www.wikidata.org/entity/Q5384122,Equal Exchange,кофе,,Уэст-Бриджуотер,Point(-71.00782 42.01899),1986
http://www.wikidata.org/entity/Q5384122,Equal Exchange,кофе,,Уэст-Бриджуотер,Point(-71.008333333 42.018888888),1986
http://www.wikidata.org/entity/Q5459945,Flocafé,кофе,,Афины,Point(23.728055555 37.984166666),1994
http://www.wikidata.org/entity/Q5581670,Gong Cha,чай,Китайская Республика (Тайвань),,,2006
http://www.wikidata.org/entity/Q5582544,Good Earth Tea,чай,США,Санта-Круз,Point(-122.026252 36.97205),1972
http://www.wikidata.org/entity/Q5612238,Grupo Nutresa,кофе,Колумбия,Медельин,Point(-75.5675845 6.250200154),1920
http://www.wikidata.org/entity/Q5637114,Hacienda Buena Vista,кофе,США,,,1987
http://www.wikidata.org/entity/Q5862430,Shirin Asal Food Industrial Group,кофе,Иран,Тебриз,Point(46.296111111 38.073888888),1990
http://www.wikidata.org/entity/Q5929076,Hudsons Coffee,кофе,,,,1998
http://www.wikidata.org/entity/Q6021512,Çaykur,чай,Турция,Ризе,Point(40.530555555 41.025277777),1983
http://www.wikidata.org/entity/Q6350154,Kalahari Tea,чай,,Атланта,Point(-84.389722222 33.754444444),1999
http://www.wikidata.org/entity/Q6485288,Кафе Ландвер (сеть кофеен),кофе,Израиль,Холон,Point(34.766666666 32.016666666),1919
http://www.wikidata.org/entity/Q7602918,Stash Tea Company,чай,США,Тайгард,Point(-122.743611111 45.405),1972
http://www.wikidata.org/entity/Q7691065,Tea Forté,чай,,Конкорд,Point(-71.349444444 42.460277777),2003
http://www.wikidata.org/entity/Q7726599,The Coffee Club,кофе,Австралия,West End,Point(153.0122 -27.4802),1989
http://www.wikidata.org/entity/Q7735180,The Freaky Bean Coffee Company,кофе,,Уэстбрук,Point(-70.357222222 43.685277777),2005
http://www.wikidata.org/entity/Q7807011,Timothy's World Coffee,кофе,Канада,Торонто,Point(-79.386666666 43.670277777),1975
http://www.wikidata.org/entity/Q7887616,United Coffee,кофе,,Женева,Point(6.15 46.2),1818
http://www.wikidata.org/entity/Q7937293,Vittoria Coffee,кофе,Австралия,Сидней,Point(151.21 -33.867777777),1947
http://www.wikidata.org/entity/Q7996831,Whittard of Chelsea,кофе,Великобритания,Уитни,Point(-1.49 51.78),1886
http://www.wikidata.org/entity/Q9322755,Rosamonte,чай,Аргентина,Apóstoles,Point(-55.766666666 -27.916666666),1936
http://www.wikidata.org/entity/Q10489162,Espresso House,кофе,Швеция,Стокгольм,Point(18.068611111 59.329444444),1996
http://www.wikidata.org/entity/Q10939065,TenRen's Tea,чай,,Тайбэй,Point(121.5625 25.0375),1953
http://www.wikidata.org/entity/Q12055615,Crazy Mocha Coffee Company,кофе,,,,2000
http://www.wikidata.org/entity/Q12058335,Jemča,чай,Чехия,Йемнице,Point(15.5791667 49.0167611),1974
http://www.wikidata.org/entity/Q12302886,Baresso,кофе,Дания,Копенгаген,Point(12.568888888 55.676111111),1999
http://www.wikidata.org/entity/Q12302886,Baresso,чай,Дания,Копенгаген,Point(12.568888888 55.676111111),1999
http://www.wikidata.org/entity/Q12326689,Q12326689,кофе,Дания,Коллинг,Point(9.472222222 55.490833333),1956
http://www.wikidata.org/entity/Q12331633,Peter Larsens Kaffe,кофе,Дания,Виборг,Point(9.378333333 56.449444444),1902
http://www.wikidata.org/entity/Q12611298,Ediya Coffee,кофе,Республика Корея,Сеул,Point(126.99 37.56),2001
http://www.wikidata.org/entity/Q12611298,Ediya Coffee,чай,Республика Корея,Сеул,Point(126.99 37.56),2001
http://www.wikidata.org/entity/Q12810467,Kurukahveci Mehmet Efendi,кофе,Турция,Стамбул,Point(28.960277777 41.01),1871
http://www.wikidata.org/entity/Q15951082,Русский продукт,кофе,,Москва,Point(37.6175 55.750555555),1996
http://www.wikidata.org/entity/Q16908964,T K Group of Industries,чай,,Читтагонг,Point(91.8325 22.335),1972
http://www.wikidata.org/entity/Q16951700,Sumo Salad,кофе,Австралия,Сидней,Point(151.21 -33.867777777),2003
http://www.wikidata.org/entity/Q16952021,Mikel Coffee Company,кофе,,Лариса,Point(22.413061 39.638493),2008
http://www.wikidata.org/entity/Q16966589,TWG Tea,чай,Сингапур,Сингапур,Point(103.8 1.3),2008
http://www.wikidata.org/entity/Q16993987,Gaviña Gourmet Coffee,кофе,США,Вернон,Point(-118.211111111 34.001111111),1870
http://www.wikidata.org/entity/Q17000871,Dwinell-Wright Company,кофе,США,Бостон,Point(-71.057777777 42.360277777),1845
http://www.wikidata.org/entity/Q17059517,Yorkshire Tea,чай,Великобритания,,,1886
http://www.wikidata.org/entity/Q17069332,Esquires,кофе,,Ванкувер,Point(-123.113888888 49.260833333),1993
http://www.wikidata.org/entity/Q17087777,Two Leaves Tea Company,чай,США,Basalt,Point(-107.038 39.3683),2005
http://www.wikidata.org/entity/Q17119335,Upton Tea Imports,чай,,Холлистон,Point(-71.425 42.2),1989
http://www.wikidata.org/entity/Q17165535,BKI Foods,кофе,Дания,Højbjerg,Point(10.2 56.116666666),1960
http://www.wikidata.org/entity/Q17165535,BKI Foods,чай,Дания,Højbjerg,Point(10.2 56.116666666),1960
http://www.wikidata.org/entity/Q18148458,Farmer Brothers,кофе,США,Northlake,Point(-97.2531 33.0825),1912
http://www.wikidata.org/entity/Q18161207,Джок Уиллис Шиппинг Лайн,чай,,Лондон,Point(-0.1275 51.507222222),1830
http://www.wikidata.org/entity/Q18166370,Pie Face,кофе,Австралия,,,2003
