tea,teaLabel,type,typeLabel,country,countryLabel,processingMethod,processingMethodLabel,subclass,subclassLabel,image
http://www.wikidata.org/entity/Q1061187,имбирный чай,,,http://www.wikidata.org/entity/Q833,Малайзия,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/Java%20Wedang%20Jahe.jpg
http://www.wikidata.org/entity/Q31625,ячменный чай,http://www.wikidata.org/entity/Q1147571,кофезаменители,,,,,http://www.wikidata.org/entity/Q111028971,seed tea,http://commons.wikimedia.org/wiki/Special:FilePath/Boricha%20%28barley%20tea%29.jpg
http://www.wikidata.org/entity/Q1204167,плиточный чай,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/Brick%20tea%20%28Old%20Fort%20Erie%29.jpg
http://www.wikidata.org/entity/Q1204167,плиточный чай,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/Brick%20tea%20wik%20commens.JPG
http://www.wikidata.org/entity/Q1204167,плиточный чай,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/Golden%20melon.jpg
http://www.wikidata.org/entity/Q170883,Кашмирский чай,,,,,,,http://www.wikidata.org/entity/Q6097,чай,http://commons.wikimedia.org/wiki/Special:FilePath/Kashmiri%20Chai.JPG
http://www.wikidata.org/entity/Q5944847,Q5944847,,,http://www.wikidata.org/entity/Q869,Таиланд,,,http://www.wikidata.org/entity/Q6097,чай,
http://www.wikidata.org/entity/Q5358446,mogwa-cha,,,,,,,http://www.wikidata.org/entity/Q111029089,корейский фруктовый чай,http://commons.wikimedia.org/wiki/Special:FilePath/Mogwa-cha%201.jpg
http://www.wikidata.org/entity/Q207788,Эрл Грей,,,http://www.wikidata.org/entity/Q21,Англия,,,http://www.wikidata.org/entity/Q203415,чёрный чай,http://commons.wikimedia.org/wiki/Special:FilePath/Earl%20Grey%20Tea.jpg
http://www.wikidata.org/entity/Q207788,Эрл Грей,,,http://www.wikidata.org/entity/Q21,Англия,,,http://www.wikidata.org/entity/Q203415,чёрный чай,http://commons.wikimedia.org/wiki/Special:FilePath/Frisch%20aufgebr%C3%BChter%20EarlGrey%20Tee.jpg
http://www.wikidata.org/entity/Q12583504,gyeolmyeongja-cha,,,,,,,http://www.wikidata.org/entity/Q111028971,seed tea,http://commons.wikimedia.org/wiki/Special:FilePath/Gyeolmyeongja-cha.jpg
http://www.wikidata.org/entity/Q124606582,Asamushi,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q484083,зелёный чай,
http://www.wikidata.org/entity/Q11665702,Sasso,,,,,,,http://www.wikidata.org/entity/Q6097,чай,
http://www.wikidata.org/entity/Q106333717,Meng Ding Huangya,,,,,,,http://www.wikidata.org/entity/Q824529,жёлтый чай,
http://www.wikidata.org/entity/Q30043825,чай из сосновых иголок,,,,,,,http://www.wikidata.org/entity/Q379932,фиточай,http://commons.wikimedia.org/wiki/Special:FilePath/Sollip-cha.jpg
http://www.wikidata.org/entity/Q22124782,furicha,,,,,,,http://www.wikidata.org/entity/Q789960,Бантя,http://commons.wikimedia.org/wiki/Special:FilePath/Bukubuku%20cha2.jpg
http://www.wikidata.org/entity/Q122961542,usucha,,,,,,,http://www.wikidata.org/entity/Q85209885,Маття,http://commons.wikimedia.org/wiki/Special:FilePath/Matcha%20%285026245674%29.jpg
